TF	Target	rank	confidence	stroke	stroke-width	stroke-dasharray
Irf5	Gemin6	0.13115	0.060274	rgb(218,205,206)	1.5583	2,2
Irf7	Map3k5	0.13115	0.011864	rgb(217,215,215)	1.5583	2,2
Irf8	Slc6a6	0.13115	0.010562	rgb(217,215,215)	1.5583	2,2
Irf9	Spata6	0.13115	0.060041	rgb(218,206,206)	1.5583	2,2
Jdp2	Ifitm3	-0.13115	-0.0096183	rgb(215,216,217)	1.425	2,2
Klf10_Klf11	Rxra	0.13115	0.013671	rgb(217,214,214)	1.5583	2,2
Klf4	Snx10	0.13115	0.028493	rgb(217,212,212)	1.5583	2,2
Klf7	Pou2f2	-0.13115	-0.0083541	rgb(215,216,217)	1.425	2,2
Klf7	Zfp7	0.13115	0.005255	rgb(217,216,216)	1.5583	2,2
Lef1	Acss1	-0.13115	-0.028419	rgb(211,213,218)	1.425	2,2
Lhx6	Pdxp	0.13115	0.02641	rgb(217,212,212)	1.5583	2,2
Maf	Atp11a	-0.13115	-0.021015	rgb(212,214,218)	1.425	2,2
Maf	Cysltr1	0.13115	0.038071	rgb(217,210,210)	1.5583	2,2
Maf	Exoc4	0.13115	0.02051	rgb(217,213,213)	1.5583	None
Maf	Phtf2	-0.13115	-0.026174	rgb(211,214,218)	1.425	2,2
Maf	Rps6ka3	0.13115	0.036697	rgb(217,210,210)	1.5583	2,2
Mafb	Celf2	-0.13115	-0.026493	rgb(211,214,218)	1.425	2,2
Mafg	N4bp2l1	0.13115	0.047202	rgb(218,208,208)	1.5583	2,2
Meis2	Ttbk2	-0.13115	-0.021163	rgb(212,214,218)	1.425	2,2
Meis3	Acvr1b	-0.13115	-0.018014	rgb(213,215,218)	1.425	2,2
Mlxipl	Sgk1	0.13115	0.022218	rgb(217,213,213)	1.5583	2,2
Msc	Ccnd3	-0.13115	-0.018559	rgb(213,215,218)	1.425	2,2
Msc	Mgat4b	-0.13115	-0.013065	rgb(214,215,217)	1.425	2,2
Mybl1	Cdc25b	0.13115	0.046383	rgb(218,208,208)	1.5583	2,2
Myc	Lpxn	-0.13115	-0.021713	rgb(212,214,218)	1.425	2,2
Myc	Ptprcap	0.13115	0.028437	rgb(217,212,212)	1.5583	2,2
Myc	Tnnt2	0.13115	0.010747	rgb(217,215,215)	1.5583	None
Nfatc1	Rcl1	0.13115	0.025818	rgb(217,212,212)	1.5583	2,2
Nfe2l2	Ecm1	0.13115	0.049517	rgb(218,208,208)	1.5583	2,2
Nfia	Tnk2	-0.13115	-0.12185	rgb(191,201,222)	1.425	2,2
Nfkb2	Sf3b3	0.13115	0.036055	rgb(217,210,210)	1.5583	None
Nkx1-2	Minpp1	0.13115	0.019008	rgb(217,213,213)	1.5583	2,2
Nkx3-1	Nrip1	0.13115	0.016667	rgb(217,214,214)	1.5583	2,2
Npas4	Mapk6	0.13115	0.048345	rgb(218,208,208)	1.5583	None
Nr3c1	Sh2d3c	-0.13115	-0.028785	rgb(211,213,218)	1.425	2,2
Plag1	Hemk1	0.13115	0.0092716	rgb(217,215,215)	1.5583	2,2
Pparg	Pdcd1	0.13115	0.029056	rgb(217,211,212)	1.5583	2,2
Prrx1	Lta	0.13115	0.0087597	rgb(217,215,215)	1.5583	2,2
Rarg	Satb1	0.13115	0.014808	rgb(217,214,214)	1.5583	2,2
Rbpj	Gatm	-0.13115	-0.035793	rgb(209,212,218)	1.425	2,2
Rel	Map3k5	-0.13115	-0.0093707	rgb(215,216,217)	1.425	2,2
Rela	Padi2	-0.13115	-0.013532	rgb(214,215,218)	1.425	2,2
Rfx1	Dyx1c1	0.13115	0.056161	rgb(218,206,206)	1.5583	2,2
Rfx2	Cd44	0.13115	0.025589	rgb(217,212,212)	1.5583	2,2
Rorc	Ephx1	-0.13115	-0.055886	rgb(205,210,219)	1.425	2,2
Rreb1	Gnb5	-0.13115	-0.038887	rgb(209,212,218)	1.425	2,2
Rreb1	Phtf2	0.13115	0.025903	rgb(217,212,212)	1.5583	2,2
Rreb1	Scml4	0.13115	0.028965	rgb(217,211,212)	1.5583	None
Runx1	Impa2	0.13115	0.02938	rgb(217,211,211)	1.5583	2,2
Runx3	Vgll4	0.13115	0.0063677	rgb(217,216,216)	1.5583	2,2
Rxra	Gata3	0.13115	0.034067	rgb(217,210,211)	1.5583	2,2
Rxrb	Slc2a3	0.13115	0.031684	rgb(217,211,211)	1.5583	2,2
Six1	Zdhhc2	0.13115	0.074884	rgb(218,203,203)	1.5583	2,2
Six5	Ptger2	-0.13115	-0.017616	rgb(213,215,218)	1.425	2,2
Smad3	Ulk2	0.13115	0.052063	rgb(218,207,207)	1.5583	2,2
Sox21	Csf2	-0.13115	-0.018123	rgb(213,215,218)	1.425	2,2
Sox5	Adarb1	-0.13115	-0.014106	rgb(214,215,218)	1.425	2,2
Sp100	Sell	-0.13115	-0.019225	rgb(213,214,218)	1.425	2,2
Sp3	Anxa4	0.13115	0.0281	rgb(217,212,212)	1.5583	2,2
Sp3	Sema4d	0.13115	0.016057	rgb(217,214,214)	1.5583	2,2
Sp4	Anln	0.13115	0.16439	rgb(219,186,186)	1.5583	2,2
Sp4	Sh3bp1	0.13115	0.070425	rgb(218,204,204)	1.5583	None
Sp7_Sp8...	Rps6ka2	-0.13115	-0.019596	rgb(213,214,218)	1.425	2,2
Srf	Mpdu1	0.13115	0.027958	rgb(217,212,212)	1.5583	2,2
Srf	Zadh2	-0.13115	-0.033713	rgb(210,213,218)	1.425	2,2
Stat1	Cd47	0.13115	0.035373	rgb(217,210,210)	1.5583	2,2
Stat1	Psme1	-0.13115	-0.067391	rgb(202,208,220)	1.425	2,2
Stat4	Tle1	0.13115	0.023633	rgb(217,212,213)	1.5583	2,2
Stat5b	Crem	0.13115	0.051795	rgb(218,207,207)	1.5583	2,2
Tead1	Socs3	-0.13115	-0.04757	rgb(207,211,219)	1.425	2,2
Thra	Anxa11	0.13115	0.052097	rgb(218,207,207)	1.5583	2,2
Trp53	Sema4d	-0.13115	-0.050148	rgb(206,210,219)	1.425	2,2
Trp73	Ddit4	0.13115	0.017836	rgb(217,214,214)	1.5583	None
Vax2	Basp1	0.13115	0.011401	rgb(217,215,215)	1.5583	2,2
Zbtb33	Dctpp1	-0.13115	-0.090261	rgb(197,205,220)	1.425	2,2
Zbtb7a	Abcg2	-0.13115	-0.010584	rgb(215,216,217)	1.425	2,2
Zbtb7b	Mapk11	0.13115	0.022444	rgb(217,213,213)	1.5583	2,2
Zeb1	Ebag9	-0.13115	-0.014707	rgb(214,215,218)	1.425	2,2
Zeb1	Tns1	-0.13115	-0.0085346	rgb(215,216,217)	1.425	2,2
Zeb1	Utrn	-0.13115	-0.027433	rgb(211,213,218)	1.425	2,2
Zfp105	Nsmaf	-0.13115	-0.052319	rgb(206,210,219)	1.425	None
Zfp148	Tsc1	0.13115	0.051753	rgb(218,207,207)	1.5583	None
Zfp182	Glcci1	-0.13115	-0.013422	rgb(214,215,218)	1.425	2,2
Zfp182	Timd2	0.13115	0.03596	rgb(217,210,210)	1.5583	None
Zfp202	Sra1	0.13115	0.03966	rgb(217,209,210)	1.5583	2,2
Zfp219	Il4ra	0.13115	0.030667	rgb(217,211,211)	1.5583	2,2
Zfp263	Ndrg2	0.13115	0.13223	rgb(218,192,192)	1.5583	2,2
Zfp524	Ccnd3	0.13115	0.022955	rgb(217,213,213)	1.5583	2,2
Zscan10	Stard10	-0.13115	-0.012182	rgb(214,215,217)	1.425	2,2
Casz1	Pim1	0.13115	0.030703	rgb(217,211,211)	1.5583	2,2
Casz1	Smox	0.13115	0.012633	rgb(217,215,215)	1.5583	2,2
Casz1	Zfp426	-0.13115	-0.033357	rgb(210,213,218)	1.425	2,2
Foxp2	Cd70	0.13115	0.02363	rgb(217,212,213)	1.5583	2,2
Foxp2	Ramp3	0.13115	0.04433	rgb(217,209,209)	1.5583	2,2
Gm13139	Tns1	0.13115	0.0062074	rgb(217,216,216)	1.5583	2,2
Gm13154	Flot2	-0.13115	-0.016427	rgb(213,215,218)	1.425	2,2
Kdm5b	Ndrg2	0.13115	0.1405	rgb(219,190,190)	1.5583	2,2
Mxd1	Smpd4	-0.13115	-0.014282	rgb(214,215,218)	1.425	2,2
Nacc2	Gnpda1	-0.13115	-0.015833	rgb(214,215,218)	1.425	2,2
Satb1	Cxcr4	0.13115	0.040694	rgb(217,209,209)	1.5583	2,2
Setdb2	Clic4	0.13115	0.019452	rgb(217,213,213)	1.5583	None
Sp6	Stab1	-0.13115	-0.020133	rgb(213,214,218)	1.425	2,2
Tet3	Nfat5	0.13115	0.020272	rgb(217,213,213)	1.5583	2,2
Thap3	Rpl36al	0.13115	0.043961	rgb(217,209,209)	1.5583	2,2
Zbtb17	Hexb	-0.13115	-0.059746	rgb(204,209,219)	1.425	2,2
Zbtb17	Notch1	0.13115	0.042192	rgb(217,209,209)	1.5583	2,2
Zfp120	Sytl2	-0.13115	-0.043854	rgb(207,211,219)	1.425	2,2
Zfp277	Tfpi	0.13115	0.016931	rgb(217,214,214)	1.5583	2,2
Zfp280b	Adam10	0.13115	0.026162	rgb(217,212,212)	1.5583	2,2
Zfp280b	Gnb5	-0.13115	-0.05607	rgb(205,210,219)	1.425	2,2
Zfp296	Txk	-0.13115	-0.017117	rgb(213,215,218)	1.425	2,2
Zfp385a	Ethe1	0.13115	0.026193	rgb(217,212,212)	1.5583	2,2
Zfp398	Pgm1	-0.13115	-0.016287	rgb(213,215,218)	1.425	2,2
Zfp618	Serpinc1	0.13115	0.036062	rgb(217,210,210)	1.5583	2,2
Zfp629	Rnf130	0.13115	0.027338	rgb(217,212,212)	1.5583	2,2
Zfp651	Iqgap2	-0.13115	-0.010502	rgb(215,216,217)	1.425	2,2
Zfp668	Cnnm3	0.13115	0.084234	rgb(218,201,201)	1.5583	2,2
Zfp790	Aacs	-0.13115	-0.041027	rgb(208,212,219)	1.425	2,2
Zfp790	Lpcat1	-0.13115	-0.012256	rgb(214,215,217)	1.425	2,2
Zfp960	Ccr8	-0.13115	-0.0098711	rgb(215,216,217)	1.425	2,2
Ahctf1	Dst	-0.11475	-0.013459	rgb(214,215,218)	1.4333	2,2
Ahctf1	Pxn	-0.11475	-0.019311	rgb(213,214,218)	1.4333	2,2
Ar	Mllt6	-0.11475	-0.052795	rgb(206,210,219)	1.4333	2,2
Ar	Runx1	-0.11475	-0.016092	rgb(214,215,218)	1.4333	2,2
Ascl2	Trib2	-0.11475	-0.014838	rgb(214,215,218)	1.4333	2,2
Atf3	Rras	-0.11475	-0.032428	rgb(210,213,218)	1.4333	2,2
Atf6	Inpp5a	0.11475	0.0051516	rgb(217,216,216)	1.55	2,2
Bach1	Slc9a3r1	-0.11475	-0.02932	rgb(211,213,218)	1.4333	2,2
Batf	Rassf1	0.11475	0.025405	rgb(217,212,212)	1.55	2,2
Bbx	Pgs1	0.11475	0.01534	rgb(217,214,214)	1.55	2,2
Bcl6	Fap	-0.11475	-0.029271	rgb(211,213,218)	1.4333	2,2
Bhlhe40	Psrc1	-0.11475	-0.05711	rgb(205,209,219)	1.4333	2,2
Creb1	Dusp1	0.11475	0.021317	rgb(217,213,213)	1.55	2,2
Csda_Ybx2	Sertad3	0.11475	0.033152	rgb(217,211,211)	1.55	2,2
Ddit3	Dnmt3b	0.11475	0.023066	rgb(217,213,213)	1.55	2,2
Ebf1	Abhd4	0.11475	0.02442	rgb(217,212,212)	1.55	2,2
Egr1	Exo1	0.11475	0.023168	rgb(217,213,213)	1.55	2,2
Egr1	Tmbim1	0.11475	0.010354	rgb(217,215,215)	1.55	2,2
Egr2	Dock9	-0.11475	-0.028288	rgb(211,213,218)	1.4333	2,2
Egr2	Ltb	0.11475	0.011091	rgb(217,215,215)	1.55	None
Esr1	Il10rb	0.11475	0.010655	rgb(217,215,215)	1.55	2,2
Ets1	Lif	0.11475	0.0076448	rgb(217,216,216)	1.55	2,2
Fos	Lpin2	-0.11475	-0.015988	rgb(214,215,218)	1.4333	2,2
Fosb	Arf1	-0.11475	-0.016341	rgb(213,215,218)	1.4333	2,2
Fosl2	Ecm1	0.11475	0.038031	rgb(217,210,210)	1.55	2,2
Fosl2	Pim1	0.11475	0.022481	rgb(217,213,213)	1.55	2,2
Foxa1	Twsg1	0.11475	0.010236	rgb(217,215,215)	1.55	2,2
