TF	Target	confidence	rank	stroke	stroke-width	stroke-dasharray
Zfx	Snhg6	-0.69785	-0.59225	rgb( 88,139,240)	1.1252	2,2
Egr1	Pank1	0.69749	0.60856	rgb(224,101,102)	1.8441	2,2
Foxq1	Perp	0.69725	0.5739	rgb(223,107,109)	1.844	2,2
Cebpg	Malt1	0.69457	0.79511	rgb(226, 65, 67)	1.8426	2,2
Rela	Mllt6	-0.69416	-0.71764	rgb( 61,122,244)	1.1271	2,2
Klf4	Ppm1j	0.69407	0.65036	rgb(224, 93, 94)	1.8424	2,2
Hif1a	Egln3	0.69334	0.79001	rgb(226, 66, 68)	1.842	2,2
Mxd1	Csrnp1	0.69252	0.72171	rgb(225, 79, 81)	1.8416	2,2
Sox4	Smarca2	0.69229	0.61978	rgb(224, 99,100)	1.8415	2,2
Pou2f2	Asph	0.69179	0.60143	rgb(224,102,103)	1.8412	2,2
Mafg	Fyn	0.69114	0.82263	rgb(226, 60, 62)	1.8409	2,2
Rela	Bend5	0.69104	0.6738	rgb(224, 88, 90)	1.8408	2,2
Bcl6b	Mesdc1	-0.69097	-0.60143	rgb( 86,138,240)	1.1288	2,2
Egr3	Ralb	-0.69051	-0.73191	rgb( 58,120,245)	1.129	2,2
Batf	Kif5c	0.6903	0.68603	rgb(225, 86, 87)	1.8404	2,2
Zfx	Pla2g12a	-0.68936	-0.65545	rgb( 75,130,242)	1.1296	2,2
Hif1a	Fzd7	0.68844	0.48012	rgb(222,125,126)	1.8395	2,2
Sp2	Cisd3	0.68831	0.60652	rgb(224,101,102)	1.8394	2,2
Smad3	Ahr	0.68831	0.75535	rgb(225, 73, 74)	1.8394	2,2
Sp2	Zcchc2	-0.68804	-0.63303	rgb( 80,133,241)	1.1303	2,2
Runx1	Ebf1	0.68793	0.77982	rgb(226, 68, 70)	1.8392	2,2
E2f1	Anln	0.68753	0.55963	rgb(223,110,111)	1.839	2,2
Zbtb46	Cd70	0.68723	0.59837	rgb(224,103,104)	1.8389	2,2
Nr3c1	Gemin6	0.68694	0.64526	rgb(224, 94, 95)	1.8387	2,2
Meis3	Stc2	0.68691	0.48522	rgb(222,124,125)	1.8387	2,2
Elf1	Pts	0.68569	0.71764	rgb(225, 80, 81)	1.8381	2,2
Hif1a	Arrb1	0.68523	0.60143	rgb(224,102,103)	1.8378	2,2
Fosl1	Ccnd3	0.68516	0.579	rgb(223,106,108)	1.8378	2,2
Klf4	Neto2	-0.68479	-0.69419	rgb( 66,125,243)	1.132	2,2
Rest	H2-Ab1	0.68478	0.43119	rgb(222,135,136)	1.8376	2,2
Zfx	Casp6	-0.68418	-0.54128	rgb(100,146,238)	1.1323	2,2
