TF	Target	confidence	rank	stroke	stroke-width	stroke-dasharray
Klf5	Rps6ka4	0.66282	0.63793	rgb(224, 95, 96)	1.8281	2,2
E2f1	Exo1	0.66278	0.58621	rgb(223,105,106)	1.8281	2,2
Klf10	Cd70	-0.66242	-0.60345	rgb( 86,137,240)	1.1524	2,2
Klf4	Plekha2	0.66185	0.60345	rgb(224,102,103)	1.8276	2,2
Klf8	Lgals1	0.6613	0.58621	rgb(223,105,106)	1.8273	2,2
Hey1	Ddx51	0.66077	0.62069	rgb(224, 98,100)	1.827	2,2
Mef2b	Syf2	0.66031	0.60345	rgb(224,102,103)	1.8268	2,2
Elf1	Il2rb	-0.65961	-0.56897	rgb( 94,142,239)	1.1538	2,2
Egr1	Pgrmc1	0.65956	0.63793	rgb(224, 95, 96)	1.8264	2,2
Erg	Ccdc50	-0.65921	-0.62069	rgb( 82,135,241)	1.154	2,2
Klf7	Hmgcl	0.65897	0.65517	rgb(224, 92, 93)	1.8261	2,2
Atf6b	Crip1	-0.65819	-0.56897	rgb( 94,142,239)	1.1546	2,2
Klf5	Fundc2	-0.65796	-0.62069	rgb( 82,135,241)	1.1547	2,2
Cc2d1a	Rps6ka4	0.65768	0.65517	rgb(224, 92, 93)	1.8255	2,2
Zfp367	Exo1	0.65696	0.58621	rgb(223,105,106)	1.8251	2,2
Zbtb4	Acin1	0.65662	0.72414	rgb(225, 79, 80)	1.8249	2,2
Myc	Tnfrsf21	0.65651	0.56897	rgb(223,108,109)	1.8249	2,2
Sp3	Ankzf1	0.65646	0.63793	rgb(224, 95, 96)	1.8248	None
Batf	Lpp	0.65604	0.62069	rgb(224, 98,100)	1.8246	2,2
Klf5	Jak3	0.65597	0.63793	rgb(224, 95, 96)	1.8246	2,2
Smad3	Ctla2a	0.65476	0.7069	rgb(225, 82, 83)	1.824	2,2
Stat4	Casp6	0.65405	0.46552	rgb(222,128,129)	1.8236	2,2
E2f1	Wee1	0.65375	0.55172	rgb(223,112,113)	1.8235	2,2
Egr1	Dctpp1	0.65204	0.5	rgb(223,122,123)	1.8226	2,2
Stat3	Sidt1	-0.65174	-0.63793	rgb( 79,133,241)	1.1578	2,2
Snai2	Cd5l	-0.65166	-0.67241	rgb( 71,128,243)	1.1579	2,2
Rreb1	Dusp1	0.65124	0.53448	rgb(223,115,116)	1.8222	None
Bcl6b	Psmd8	0.65086	0.68966	rgb(225, 85, 87)	1.822	2,2
Zkscan17	Mgat4b	0.6507	0.63793	rgb(224, 95, 96)	1.8219	2,2
E2f4	Rfwd3	0.65028	0.55172	rgb(223,112,113)	1.8217	2,2
Tcf3	Flot1	0.64883	0.58621	rgb(223,105,106)	1.821	2,2
Egr1	Prpsap2	0.64808	0.53448	rgb(223,115,116)	1.8206	2,2
Mef2d	Qser1	0.64788	0.7931	rgb(226, 66, 67)	1.8205	2,2
Bcl6b	Wrnip1	-0.6477	-0.77586	rgb( 49,115,246)	1.1599	2,2
E2f1	Rxra	0.64711	0.74138	rgb(225, 75, 77)	1.8201	2,2
