TF	Target	SignedQuantile	NonzeroSubsamples(Stability)	pCorr	stroke	stroke-width	stroke-dasharray
Sox21	St8sia6	-0.20841	40.14	-1.4E-01	rgb(186,198,222)	1.7886	2,2
Ppard	Srxn1	0.20541	40.13	0.133	rgb(218,192,192)	1.7884	2,2
Hoxb1	Sptlc1	0.20242	40.11	0.114	rgb(218,195,196)	1.788	2,2
Ovol1	Srpk1	0.20242	40.11	0.11	rgb(218,196,196)	1.788	2,2
Heyl	Sptlc1	0.19942	40.1	0.098	rgb(218,198,198)	1.7878	2,2
Irf5	Stap1	0.19643	40.08	0.078	rgb(218,202,202)	1.7874	None
Meis3	St7	0.19343	40.07	0.065	rgb(218,205,205)	1.7872	None
Rreb1	Srpk1	0.19043	40.03	0.032	rgb(217,211,211)	1.7864	None
Tcf12	Sqstm1	0.19043	40.03	0.028	rgb(217,212,212)	1.7864	None
Foxq1	Stap1	-0.18744	40.01	-1.4E-02	rgb(214,215,218)	1.786	None
Thap3	Srsf12	0.18444	39.43	0.426	rgb(222,136,136)	1.7743	2,2
Nfic	St7l	-0.18104	39.37	-3.7E-01	rgb(136,168,231)	1.7731	2,2
Zfp11	Srsf12	-0.17763	39.31	-3.1E-01	rgb(149,176,229)	1.7719	2,2
Prox1	Sspo	0.17422	39.28	0.283	rgb(220,163,163)	1.7713	2,2
Zmat1	Srpx2	-0.17422	39.28	-2.8E-01	rgb(156,180,228)	1.7713	2,2
Tcf7l1	Srxn1	-0.17081	39.25	-2.5E-01	rgb(163,184,226)	1.7707	None
Zfp791	Sspo	0.17081	39.25	0.251	rgb(220,169,169)	1.7707	2,2
Zfp956	Sqle	-0.17081	39.25	-2.5E-01	rgb(163,184,227)	1.7707	2,2
Mxi1	Sqstm1	0.16741	39.21	0.213	rgb(219,176,177)	1.7699	None
Foxp1	Srxn1	-0.16741	39.21	-2.1E-01	rgb(171,189,225)	1.7699	2,2
Mxi1	Srpk2	-0.164	39.18	-1.8E-01	rgb(178,193,224)	1.7693	2,2
Jdp2	St7	0.16059	39.17	0.174	rgb(219,184,184)	1.7691	None
Tcf7l2	Sra1	-0.16059	39.17	-1.7E-01	rgb(180,194,224)	1.7691	2,2
Litaf	St14	0.15719	39.16	0.159	rgb(219,187,187)	1.7689	2,2
Mlxipl	Srxn1	-0.15378	39.13	-1.3E-01	rgb(188,199,222)	1.7683	2,2
Fosl1	Ss18	-0.15037	39.1	-9.8E-02	rgb(196,204,221)	1.7677	None
Stat1	St8sia6	-0.14696	39.09	-8.8E-02	rgb(198,205,220)	1.7675	None
Sox21	Ssh2	-0.14356	39.06	-6.4E-02	rgb(203,209,219)	1.7669	None
Zfp105	Srgn	0.14356	39.06	0.065	rgb(218,205,205)	1.7669	None
Satb2	St18	0.14356	39.06	0.057	rgb(218,206,206)	1.7669	2,2
Jun	St18	-0.14015	39.03	-3.2E-02	rgb(210,213,218)	1.7663	None
