TF	Target	SignedQuantile	NonzeroSubsamples(Stability)	pCorr	stroke	stroke-width	stroke-dasharray
Tcf7l2	Srgn	-0.1885	40.13	-1.3E-01	rgb(189,200,222)	1.7876	None
Runx1	Srgap3	0.1856	40.1	0.102	rgb(218,198,198)	1.787	2,2
Foxs1	Stap1	-0.18271	40.09	-8.8E-02	rgb(198,205,220)	1.7868	None
Nr1h2	Sqle	-0.18271	40.09	-8.8E-02	rgb(198,205,220)	1.7868	2,2
Nr2f6	Spsb4	0.17981	40.08	0.078	rgb(218,202,202)	1.7866	None
Sp9	St3gal5	0.17691	40.06	0.171	rgb(219,184,185)	1.7862	2,2
Gata1	St7	0.17401	40.01	0.014	rgb(217,214,214)	1.7852	None
Maf	Srgn	-0.17401	40.01	-1.0E-02	rgb(215,216,217)	1.7852	None
Thap3	Srsf12	0.17111	39.4	0.399	rgb(221,141,142)	1.7729	2,2
Foxp1	St3gal5	0.17111	39.4	0.122	rgb(218,194,194)	1.7729	2,2
Foxp2	St3gal5	0.17111	39.4	0.122	rgb(218,194,194)	1.7729	2,2
Foxp4	St3gal5	0.17111	39.4	0.122	rgb(218,194,194)	1.7729	2,2
Zfp459	Srsf12	0.16762	39.29	0.288	rgb(220,162,163)	1.7707	2,2
Elk3	St7	-0.16413	39.26	-2.6E-01	rgb(161,183,227)	1.7701	None
Trerf1	Spsb1	0.16413	39.26	0.259	rgb(220,168,168)	1.7701	2,2
Ikzf2	Srgn	0.16063	39.23	0.232	rgb(220,173,173)	1.7695	None
Elf1	St7l	0.15714	39.21	0.208	rgb(219,177,178)	1.7691	None
Nr4a1	Spsb4	0.15714	39.21	0.21	rgb(219,177,177)	1.7691	2,2
Atmin	Stap1	0.15714	39.21	0.211	rgb(219,177,177)	1.7691	2,2
Cbx2	St3gal5	0.15365	39.2	0.201	rgb(219,179,179)	1.7689	2,2
Zfp91	Sptlc1	0.15365	39.2	0.204	rgb(219,178,178)	1.7689	2,2
Ybx2	Stambp	0.15016	39.19	0.189	rgb(219,181,181)	1.7687	2,2
Casz1	Stap1	-0.14667	39.17	-1.7E-01	rgb(181,195,223)	1.7683	2,2
Satb2	Srxn1	0.14317	39.16	0.162	rgb(219,186,186)	1.7681	2,2
Zbtb32	St14	0.14317	39.16	0.165	rgb(219,186,186)	1.7681	2,2
Zfp280b	St14	0.14317	39.16	0.162	rgb(219,186,186)	1.7681	2,2
Zfp956	Sqle	-0.13968	39.15	-1.5E-01	rgb(184,197,223)	1.7679	2,2
Atf3	St6galnac1	0.13619	39.14	0.136	rgb(218,191,191)	1.7677	None
Runx3	St3gal5	-0.1327	39.13	-1.3E-01	rgb(190,200,222)	1.7675	None
Tshz2	Sspo	-0.1327	39.13	-1.3E-01	rgb(190,200,222)	1.7675	2,2
Zfp369	Srpk2	0.12921	39.12	0.122	rgb(218,194,194)	1.7673	None
Sox13	Spsb1	0.12571	39.08	0.081	rgb(218,201,202)	1.7665	2,2
Zfp119a	St7l	0.12222	38.34	0.342	rgb(221,152,152)	1.7516	2,2
Gfi1	Sqle	0.11878	38.27	0.268	rgb(220,166,166)	1.7502	2,2
