TF	Target	confidence	rank	stroke	stroke-width	stroke-dasharray
Klf5	Crat	0.6842	0.71263	rgb(225, 81, 82)	1.8369	2,2
Jund	Anxa2	0.684	0.65895	rgb(224, 91, 92)	1.8368	2,2
Irf5	Samsn1	0.6839	0.77684	rgb(226, 69, 70)	1.8368	2,2
E2f1	Srgn	-0.6837	-0.69158	rgb( 67,126,243)	1.1306	2,2
Hif1a	P4ha2	0.68332	0.92842	rgb(227, 40, 42)	1.8365	2,2
Zfp148	Map3k1	0.68331	0.77053	rgb(225, 70, 71)	1.8365	2,2
Zfp148	Dazap2	0.68312	0.86842	rgb(227, 51, 53)	1.8364	2,2
Foxq1	Perp	0.68275	0.68842	rgb(225, 86, 87)	1.8362	2,2
Klf7	Ascc1	0.68246	0.54842	rgb(223,112,113)	1.836	2,2
Sp3	Sh3bp1	0.68101	0.73474	rgb(225, 77, 78)	1.8353	2,2
Bhlhe40	Itpr3	0.68062	0.46737	rgb(222,128,129)	1.8351	2,2
Elf1	B4galt2	-0.68038	-0.69368	rgb( 66,125,243)	1.1323	2,2
Ikzf4	Pkp4	0.67979	0.77053	rgb(225, 70, 71)	1.8346	2,2
Trp53	Aldh4a1	0.67911	0.73158	rgb(225, 77, 79)	1.8343	2,2
Stat3	Trpa1	-0.679	-0.76842	rgb( 50,116,246)	1.133	2,2
Ets1	Exosc8	0.67833	0.55158	rgb(223,112,113)	1.8339	2,2
Tcf3	Mocos	0.67759	0.49263	rgb(222,123,124)	1.8335	2,2
Klf4	Neto2	-0.67739	-0.57263	rgb( 93,141,239)	1.1338	2,2
E2f4	Dtl	0.67734	0.46526	rgb(222,128,129)	1.8334	2,2
Klf8	Sco1	0.67669	0.65368	rgb(224, 92, 93)	1.833	2,2
Pou6f1	Slc4a11	0.67634	0.50211	rgb(223,121,122)	1.8329	2,2
Bcl6	Fam131b	0.67602	0.51263	rgb(223,119,120)	1.8327	2,2
C030039L03Rik	Ankzf1	0.67576	0.50526	rgb(223,120,122)	1.8326	2,2
Stat4	Gipr	0.67545	0.46421	rgb(222,128,129)	1.8324	2,2
Zfp263	Fundc2	0.67486	0.69368	rgb(225, 85, 86)	1.8321	2,2
Cux1	Sspo	0.67426	0.68947	rgb(225, 85, 87)	1.8318	2,2
Fos	Trpv2	0.67416	0.64211	rgb(224, 94, 96)	1.8317	2,2
Foxc1	Pogz	0.67347	0.62947	rgb(224, 97, 98)	1.8314	2,2
Irf4	Gemin6	0.67322	0.72316	rgb(225, 79, 80)	1.8313	2,2
Stat3	Sema4c	-0.67271	-0.82105	rgb( 39,109,248)	1.1362	2,2
Stat3	Tnfrsf25	0.67226	0.54526	rgb(223,113,114)	1.8308	2,2
Sp2	BC026585	0.67141	0.70526	rgb(225, 82, 84)	1.8303	2,2
Zfx	Higd1a	-0.67091	-0.68842	rgb( 68,126,243)	1.1372	None
Pou2f2	Mx1	0.66958	0.57789	rgb(223,107,108)	1.8294	2,2
Stat3	Ust	0.66901	0.67368	rgb(224, 88, 90)	1.8291	2,2
Sp3	Arrb1	0.6689	0.62632	rgb(224, 97, 99)	1.829	2,2
Smad3	Nt5e	0.6689	0.62947	rgb(224, 97, 98)	1.829	2,2
Srebf1	Mical1	0.66878	0.61895	rgb(224, 99,100)	1.829	2,2
Rreb1	Tsc22d1	0.66839	0.62632	rgb(224, 97, 99)	1.8288	2,2
Pbx2	Cd28	0.66838	0.70947	rgb(225, 81, 83)	1.8288	2,2
Sp2	Decr1	0.66816	0.45684	rgb(222,130,131)	1.8286	2,2
Stat2	BC094916	0.66795	0.48316	rgb(222,125,126)	1.8285	2,2
Egr1	Pank1	0.66758	0.67053	rgb(224, 89, 90)	1.8283	2,2
Egr4	Ttyh3	0.66653	0.55895	rgb(223,110,111)	1.8278	2,2
Zbtb46	Wnt3	0.66632	0.60842	rgb(224,101,102)	1.8277	2,2
Hey1	Crip1	-0.66565	-0.65053	rgb( 76,131,242)	1.1399	2,2
Gabpa	Rnf181	-0.66516	-0.66211	rgb( 73,130,242)	1.1401	None
Irf4	Tnk2	-0.66514	-0.47684	rgb(114,154,235)	1.1401	None
Tef	Sema4f	0.66461	0.72842	rgb(225, 78, 79)	1.8268	2,2
Zfp536	Lpin3	0.66397	0.35474	rgb(221,149,150)	1.8265	2,2
Hey1	Ddx51	0.66321	0.51368	rgb(223,119,120)	1.8261	2,2
Dpf1	Ltb4r1	0.66271	0.62421	rgb(224, 98, 99)	1.8258	2,2
Thap3	Dpm3	0.66268	0.67158	rgb(224, 89, 90)	1.8258	2,2
Batf	Lpp	0.66263	0.75474	rgb(225, 73, 74)	1.8258	2,2
Meis2	Celf2	0.66235	0.85684	rgb(226, 53, 55)	1.8256	2,2
Hes1	Plxna1	0.66217	0.80316	rgb(226, 64, 65)	1.8256	2,2
Zfhx3	Riok3	-0.66202	-0.66	rgb( 74,130,242)	1.1418	2,2
Etv5	Notch1	0.66123	0.64421	rgb(224, 94, 95)	1.8251	2,2
Trp53	Hist4h4	0.66084	0.80842	rgb(226, 63, 64)	1.8249	2,2
Pou2f2	Zfpm1	-0.65972	-0.62947	rgb( 80,134,241)	1.1429	2,2
Stat3	Chm	0.65946	0.70526	rgb(225, 82, 84)	1.8241	2,2
Zfp105	Dock11	-0.6579	-0.72	rgb( 61,122,244)	1.1439	2,2
E2f4	Tyms	0.65769	0.76211	rgb(225, 71, 73)	1.8232	2,2
Sp140	Heatr1	0.65715	0.30947	rgb(220,158,159)	1.823	2,2
Foxa1	Gart	-0.65644	-0.50632	rgb(107,150,236)	1.1446	2,2
Cic	Emp1	0.65618	0.51053	rgb(223,119,121)	1.8225	2,2
Klf4	Rcan3	0.65551	0.77895	rgb(226, 68, 70)	1.8221	2,2
Klf8	S100a6	0.65522	0.58526	rgb(223,105,106)	1.822	2,2
Thra	Adap1	0.65453	0.63684	rgb(224, 95, 97)	1.8216	2,2
