TF	Target	confidence	rank	stroke	stroke-width	stroke-dasharray
Tead1	Zfp36l2	-0.76307	-0.82618	rgb( 38,108,248)	1.1137	2,2
Sp2	Clybl	0.7628	0.59442	rgb(224,103,105)	1.8808	2,2
Thap1	Plod3	0.76206	0.70386	rgb(225, 83, 84)	1.8804	2,2
Fosl2	Lrrfip1	0.76167	0.73605	rgb(225, 76, 78)	1.8802	2,2
Sox5	Cmtm7	0.76121	0.6867	rgb(225, 86, 87)	1.88	2,2
Xbp1	Ptpn11	0.76073	0.59657	rgb(224,103,104)	1.8797	2,2
Tal2	Ppap2a	0.76046	0.66738	rgb(224, 90, 91)	1.8796	2,2
Bcl6	Psme1	-0.75974	-0.47425	rgb(114,154,235)	1.1153	2,2
Lyl1_Tal2	Stx7	-0.7594	-0.83691	rgb( 35,107,249)	1.1155	2,2
Klf4	Wee1	0.75892	0.48498	rgb(222,124,125)	1.8788	2,2
Zbtb33	Mapk3	0.75887	0.55579	rgb(223,111,112)	1.8788	2,2
Klf8	Rdh11	0.75877	0.58798	rgb(223,105,106)	1.8787	2,2
Rela	Ikbke	0.75736	0.59227	rgb(224,104,105)	1.878	2,2
Gli3	Anxa4	-0.75727	-0.4721	rgb(115,155,235)	1.1166	2,2
Lyl1_Tal2	Ahnak	-0.75713	-0.56652	rgb( 94,142,239)	1.1166	2,2
Klf2	Mapk11	0.75563	0.54936	rgb(223,112,113)	1.8771	2,2
Foxb1	Ifi203	0.75547	0.82189	rgb(226, 60, 62)	1.8771	2,2
Rxrb	Nrip1	0.75513	0.69957	rgb(225, 83, 85)	1.8769	2,2
Pou3f1	Nsg2	0.75481	0.85408	rgb(226, 54, 56)	1.8767	2,2
Bach1	Slc9a8	0.75475	0.56438	rgb(223,109,110)	1.8767	None
Nr3c2	Chd7	0.75454	0.77468	rgb(226, 69, 71)	1.8766	2,2
Tcf7l1	Cdkn1b	-0.75289	-0.83476	rgb( 36,107,249)	1.1188	2,2
E2f4	Rorc	0.75244	0.56652	rgb(223,109,110)	1.8755	2,2
Egr2	Rrad	0.75236	0.54077	rgb(223,114,115)	1.8755	2,2
Batf	Cysltr1	0.75208	0.50644	rgb(223,120,121)	1.8754	2,2
Vdr	Anxa3	0.75166	0.74249	rgb(225, 75, 77)	1.8752	2,2
Csda_Ybx2	Hist3h2a	0.75116	0.81974	rgb(226, 60, 62)	1.8749	2,2
Ddit3	Cnn2	0.75011	0.69528	rgb(225, 84, 86)	1.8744	2,2
Meis3	Per2	0.74899	0.56009	rgb(223,110,111)	1.8738	None
Klf5	Il12rb1	-0.74888	-0.70172	rgb( 65,124,244)	1.1208	2,2
Nkx1-2	Per2	0.7487	0.56438	rgb(223,109,110)	1.8737	2,2
Crem	H2-Eb1	0.74813	0.61803	rgb(224, 99,100)	1.8734	2,2
Pparg	Mcoln2	0.74803	0.72532	rgb(225, 78, 80)	1.8733	2,2
Rela	Pde8a	0.74797	0.33476	rgb(221,153,154)	1.8733	2,2
Stat4	Socs3	0.74795	0.85622	rgb(226, 53, 55)	1.8733	2,2
