TF	Target	combined_confidence
Phf20	Tom1	0.9891675693692192
Nr4a2	Cd1d1	0.9891524191165888
Dzip1	Hist3h2a	0.9891410564271159
Trps1	Nckap1	0.9891410564271159
Foxp1	Avpi1	0.9890728802902788
E2f1	Psme2	0.9890577300376484
Erf	Gem	0.9890577300376484
Arid5a	Slc14a1	0.9890501549113332
Gata3	Ell2	0.9890463673481755
Tef	Lmna	0.9890047041534418
Creb3l2	Smyd5	0.9889971290271266
Mga	Klrd1	0.9889781912113385
Mef2d	Rnh1	0.9889592533955504
Dmtf1	Pmm1	0.9889554658323928
Hes6	Gnb5	0.9889365280166047
Gabpa	Lgmn	0.9889100150745014
Dzip1	Kctd17	0.9889062275113437
Bbx	Piga	0.9888380513745066
Trps1	Agpat3	0.9888266886850339
Hes6	Ndrg2	0.9888229011218762
Foxo3	Bid	0.9888077508692458
Atf5	Padi2	0.9888039633060881
Hif1a	Rhoq	0.9887812379271425
Ankzf1	Fbxo18	0.9886827612850444
Arid5a	Asf1a	0.9886713985955716
Klf10	Csf2	0.9886638234692563
Relb	Tspan5	0.9886638234692563
Hif1a	Kif3a	0.9886562483429411
Hes6	Sdc3	0.9886448856534683
Irf8	Arf1	0.9886448856534683
Hif1a	Hk1	0.9886335229639954
Gata3	Tpst1	0.9886259478376802
Foxp1	Tox	0.9885804970797888
Batf	Fez2	0.9885767095166312
Irf4	Chst12	0.9885653468271584
Ddit3	Rxra	0.9885274711955822
Zfp426	Tnip2	0.9885085333797942
Foxn2	Slc39a14	0.988470657748218
Foxn2	Ikbke	0.9884327821166418
Stat3	Timp1	0.9884252069903265
Zbed4	Endod1	0.9883759686692776
Klf13	Acvr1b	0.9883683935429624
Satb1	Zfpm1	0.9883570308534895
Rreb1	Nfkbia	0.9882699169008643
Ncoa1	Dock9	0.988243403958761
Zfpm1	Sdc3	0.9882282537061305
Gabpa	Cd47	0.9882093158903424
Nr1h2	Ldlrap1	0.9882017407640272
Irf1	Hmgcr	0.9881903780745543
